"Parent","Request Type Code","Title","Desc"
"Trash  Garbage/ Recycling Collections /Rodents",,"Trash  Garbage/ Recycling Collections /Rodents",
,"SCHEDULE","Bulk Trash Pick up","Use this SR to schedule the pickup of bulk items as follows: must schedule online 4 business days prior to pickup not including holidays; no more than 3 items; up to 4 tires w/o rims, no auto parts or building materials (including paint, flammable or hazardous waste); place at regular collection location; leave gate unlocked and items within 3 ft. of gate; place items out by 7AM on pickup day; and keep pets indoors. NOTE: Around 600 pickups are scheduled per day, when reached, the next date available will be scheduled."
,"CORNERCA","Corner Can Collection","Report overflowing public  corner trash cans to be emptied. You can also use this to report corner can abuse."
,"DIRTYALL","Dirty Alley Cleaning","Use to report and request removal of trash and garbage from a public alley.  Upon assessment of the complaint, the City will clean the alley."
,"DIRTYSTR","Dirty Street Cleaning","Use to request that a dirty street be cleaned of trash and/or bulk items. Upon assessment of the complaint, the City will clean the street. Do not use this SR type to request a mechanical sweeping."
,"GRAFFITI","Graffiti Removal","Use to report and request the removal of graffiti. Upon assessment of the complaint, the City will determine the optimum removal method (e.g., painting, sandblasting, etc.) and dispatch the appropriate resources. Graffiti removal from private property requires the owner's written consent."
,"ECEUILLE","Illegal Dumping","Use to report large amounts of trash, bulk items, or building materials that appeared overnight or a witnessed act of dumping from a vehicle. If the dumping is in progress call 911. For Neighborhood trash concerns use Housing Inspection - Trash and/or Weeds"
,"HCDILLEG","Illegal Flyers on Private Property","Create to report illegal flyers left on private property. The City will investigate and issue a citation to the responsible party if appropriate. Only the property owner or resident can request an illegal flyer investigation on private property.  Newspapers, newsletters and political flyers are not considered illegal and will not be investigated or cited."
,"HCDILLE1","Illegal Sign                                      investigation on public property","Create to complain about illegal signs installed on public property or public-right-of-way. The City will investigate and issue a Citation to the responsible party if appropriate.  The City cannot remove signs from private property."
,"MIXEDREF","Missed Mixed Refuse Pick Up","Use this request type to report a missed routine trash pickup with in 24hours of missed collection.  In most cases, the trash is picked up the following day.  Only 96 gallons in cans cans per household, place cans out by 6 am.  If in rear, leave gate unlocked & place cans within 3 ft of gate.  Please keep pets in the house."
,"RECYCLIN","Missed Recycling Pickup","Use  to report a missed routine recycling pickupwith in 24 hours of missed collection.  In most cases, the recycled items are picked up the next business day."
,"HLTHRATR","Rat Rub Out request                       (occupied single family residence)","Use to report rat infestation on a property's exterior. The City will use pesticides to treat the burrows. The property owner or resident may be required to permit access to the property for purposes of investigation and treatment. Report infestation at a business or multi-family,or unoccupied dwelling as Housing Inspection-Rodents or Food Facility Complaint. It is our goal to dispatch a service representative within 14 days."
,"HCDRODEN","Rodents-                                         inside, unoccupied, multifamily dwelling, or business","Use to report residential interior or unoccupied exterior rodent infestation, multifamily dwellings, or businesses. A Code Enforcement Official will be assigned to investigate the problem. After assessing the situation, a violation notice may be issued to the property owner. If the violation is not corrected, a referral will be sent to the Department of Solid Waste, Rat Rubout for baiting. Note: Use Rat Rubout for owner/occupant seeking assistance with exterior rat abatement."
,,,
,,,
,,,
"Vehicles",,"Vehicles",
,"TRSPC48H","48 Hour Parking Complaint","Use this Service Request to report a traffic violation of a vehicle that has not moved in 48 hours. Once reported we will investigate and then follow-up after observance of 48 hours."
,"ECCAVWEB","Abandoned Vehicle Complaint","Use this SR to report a  derelict vehicle on public or private property.  At least three of the following must be included to help identify the vehicle: exact address, color, make/model, tag number, and condition (i.e. flat tires, broken windshield, etc.)"
,"TRTANGLP","Angled Parking Request","Use to request investigation for possible angled parking."
,"TRSPARKI","Commercial Vehicle Parked in Residential Area","Use this SR to report suspected illegal parking of a commercial vehicle in a residential area. An inspector will investigate and possible outcomes may include ticketing, towing and impoundment, referral to the Police, etc. Questions concerning residential parking permits should be forwarded to the Parking Authority of Baltimore City (Telephone: (443)573-2800; E-mail: ParkingAuthority@bcparking.com)."
,"PKGVIOL","Illegal Parking Complaint","Use this request to report suspected illegal parking.  An inspector will investigate and possible outcomes may include ticketing, towing and impoundment, referral to the Police, etc.  Questions concerning residential parking permits should be forwarded to the Parking Authority of Baltimore City (Telephone: 443-573-2800; E-mail: ParkingAuthority@baltimorecity.gov)."
,"PAPAMECO","EZ Parking Meter Complaints","Use this request type of all EZ parking meter issues; that is EZ Park Pay and display meters (large black box parking meter)."
,"PASPMECO","Single Space Parking                Meter Complaints","This service request is to be used for all Single Space Parking Meter Complaints."
,,,
,,,
"Streets, Alleys, Sidewalks",,"Streets, Alleys, Sidewalks",
,"ALLEYS","Alley Repair","Use this to request the repair of an alley that is not a pothole. For alley potholes, please use the Pothole request type. Only one vehicle per report."
,"BENCHREQ","Bench Request","Use this to request the relocation of a bench, adding a bench to a location, or a bench repair."
,"TRMBRIDG","Bridge Repair","Report buckling, painting request, cracks, grate missing, etc on bridges"
,"TRTXWALK","Crosswalk Markings                        Faded or Missing","Request street markings such as crossing walk and lane markings refreshed."
,,"Street Markings","Use to report street lines and crosswalk markings that are missing or faded."
,"CURBREPA","Curb Repair","Use to report a curb that is in need of repair such as cracked , missing, has protruding irons, weep hole clogged, needs replacement. Please report handicap ramp repairs using the Handicap Ramp Repair SR type."
,"STREETL2","Damaged Street Light Pole","Use to report a damaged/knocked down/rusted street light pole. BGE will be notified so that any electrical hazard is made safe. Transportation will repair or remove the damaged pole."
,"TRMDEBRI","Debris Hanging from                                    Poles or Wires","Create to have tennis shoes and other debris hanging from telephone and traffic signal wires removes."
,"TRMFENCE","Fence repair (City property)","Use to request repairs to fences on Baltimore City property or right of way other than on or adjoining Baltimore City Public Schools System property."
,"TCMFOOT1","Sidewalk Repair","Use to request a repair to a footway/sidewalk on a city street - (The footway may be broken, cracked, or chipped.) After assessing the problem, the City will perform necessary repairs to make it safe. A violation notice may be issued if property is privately owned; the resident or business owner would either repair footway/sidewalk or pay the city to perform the work."
,"TRTBCPS1","Guardrail Repair","Use to report a guardrail on a City street that is in need of repair."
,"HANDICAP","Handicap Ramp Repair","Report a handicap ramp from the street to the sidewalk in need of repair. Please document the intersection and the corner in need of repair. Do not use this SR type to report an issue with handicap ramps giving access to private property."
,"POTHOLES","Pothole Repair","Create to report a pothole(s) on a public street or alley. The City will repair most potholes within 48 hours. Winter pothole repairs will be temporary until the spring when permanent repairs will be made."
,"DPWRIGHT","Right of Way Permit Investigation","This service request is used to verify valid permits for dumpsters, scaffolds, newspaper boxes or other STATIONERY OBJECTS left on public sidewalk, alley or street."
,"TRMSALTB","Salt Box Refill","Use this to request the refill of an existing City salt box. Use Salt Box Request to have a salt box installed, moved, or removed."
,"SALTBOXR","Salt Box Request","Create this to request a saltbox be installed, moved, or removed. To have an existing salt box refilled, please use Salt Box Refill."
,"ICYCONDI","Snow and Icy Condition on Street","Use this repequest to report a snow/icy condition which could cause injury or inhibit the movement of traffic.  A City road crew is dispatched to resolve the condition. Baltimore City does not plow or treat alleys. In a snow event primary and emergency routes will be attended before secondary roads."
,"STEELPL2","Steel Plate Complaint","Use to report a problem with a steel plate (i.e. loose, not pinned, noisy) installed in the street. Please call 311 (443-263-2220) if the plate has shifted and a hazardous hole is exposed."
,"STREETRE","Street Repairs","Use this to request a repair regarding the material condition of a street, such as cracking, sunken, raised, or sinkhole etc. - exclusive of potholes.  A Department of Transportation Highway Maintenance Supervisor is assigned to assess the problem.  After assessing the problem, the Supervisor will issue a service request to a Transportation Maintenance Crew for repairs."
,,,
,,,
"Street Lighting",,"Street Lighting",
,"STREETL6","Street Light                           Inadequate  or  Too Bright","Create this request to report a street light that may be too bright or not bright enough.  The City will dispatch a service representative to investigate and take corrective action."
,"ECCSLOW","Street Light Out","Use this request to report a streetlight outage.  Streetlights are maintained by either the City or BG&E.  The City will repair or coordinate the repair of all public street lights."
,"STREETL1","Street Light Pole                            Access Cover Concerns","Use this request to report a street light pole that has the access cover to the wiring unlatched or missing so that the wiring is exposed. If the wires are sparking, please contact BGE at 410 685-0123 instead of proceeding with this request."
,,,
"Traffic Signs and Signals",,"Traffic Signs and Signals",
,"SIGNCHAN","Traffic Sign - Change","Use this to request that a traffic sign be changed (i.e. No Parking to No Stopping).  An Investigator will be assigned to assess the complaint.  If the Investigator agrees that the sign needs to be changed, a new sign will be installed by the Sign Installation Crew."
,"SIGNDAMA","Traffic / Parking Sign  - Damaged","Create this request to report that a traffic or parking sign has been damaged.  A Department of Transportation Investigator is assigned to assess the need.  If it is verified that the sign is damaged, an internal ticket is generated to design a new sign and to have it installed."
,"SIGNFADE","Traffic Sign - Faded","Use this request to report a traffic sign that is faded so that it is unreadable."
,"SIGNMISS","Traffic Sign  - Missing","Use this request to report that a previously existing traffic sign is missing from a specific location.  Note:  Please call 311 if a Stop sign is down or missing!  An Investigator will assess the complaint, if the Investigator agrees that the sign is missing, a new sign will be installed."
,"SIGNINST","Traffic Sign  - New","Create to request that a traffic sign be installed at a location where no previous sign existed.  An Investigator will be assigned to assess the request.  If the Investigator agrees that a new sign is needed, a new sign will be installed."
,"TRTTRAF1","Traffic Sign - Removal","Use this request for the removal of a traffic sign that is no longer needed."
,"TRTTRAF1","Traffic Signal Repair","Create this to request repairs to a traffic or pedestrian signal at a signalized intersection.  A technician will be dispatched to investigate and repair the signal problem. Please enter location using street names of the intersection. (I.E. Pratt and Light; Gay and Fayette)  IF THE SIGNAL IS FLASHING OR NOT FUNCTIONING AT ALL, CALL 311 TO REPORT AN EMERGENCY SITUATION!"
,,,
"Animals",,"Animals",
,"HLTHANVC","Animal Attack Against a Human","Use to document an animal attack on a person ."
,"ANASTRA","Stray Held or Trapped","Use this SR to report a stray animal which has been detained or trapped. Upon investigation, the animal will likely be collected. If applicable, the animal owner may be cited."
,"ANTRAPVB","Trapped in Vacant Building","Report  animal in vacant bldg. Will be rescued as soon as we can gain legal access to the building, typically within 48 hours."
,"ANAUSAN","Unsanitary Conditions","Use this SR to report animal waste left in a yard, foul odor from the interior of a house where animals are kept, etc. An Enforcement Officer will be assigned to investigate the complaint. The owner of the animal or property may be given a citation."
