"Question","Text","Link 1 text","Link 1 url","Link 2 text","Link 2 url","Link 3 text","Link 3 url","Main Category","Sub Category","Entity","Tags (optional)","Link 4 text","Link 4 url","Link 5 text","Link 5 url","Internal notes",
"Where can I find Real Property Plats?","Real Property Block Plats are based on block and lot numbers that are the basis for the City property tax assessment system. Block Plats can therefore be found on the Department of Finance web page and are searchable by street address, owner, or block and lot number..","Real Property Block Plats","http://cityservices.baltimorecity.gov/realproperty/","Special Benefits District Tax","http://cityservices.baltimorecity.gov/SpecialBenefits/","Real Property Data Search","http://www.dat.state.md.us","Property, Buildings, Housing, Development",,"Planning",,,,,,,
"Where can I find the Planning Commission Agendas?","The Planning Commission generally meets twice per month, and agendas are available 1-2 weeks prior to the scheduled meeting.The Planning Commission in its current form dates back to a revision of the City Charter in 1947. At that time, the Charter stipulated that the Commission would be a nine-member board composed of: six citizens appointed by the Mayor,the Director of the Department of Public Works or his designee, a member of the City Council, and the Mayor or his representative. ","Planning Commission Agenda and Staff Reports","http://www.baltimorecity.gov/Government/AgenciesDepartments/Planning/PlanningCommission/AgendasandStaffReports.aspx","Members of the Planning Commission","http://www.baltimorecity.gov/Government/AgenciesDepartments/Planning/PlanningCommission/MembersofthePlanningCommission.aspx",,,"Government & Civil Services","Mayor and City Council, Boards & Commissions","Planning",,,,,,,
"What are the development requirements for building in Baltimore City?","The Development Guidebook outlines the development process for all who are interested in investing in Baltimore City, including developers, engineers, architects and property owners.","Development Guidebook","https://www.baltimorecity.gov/Portals/0/agencies/planning/public%20downloads/Development%20Guidebook.pdf",,,,,"Property, Buildings, Housing, Development",,"Planning",,,,,,,
"I'm interested in development. Where can I find development resources about zoning and the City's master plan?","Current and Proposed Zoning can be found by address and/or neighborhood on CityView. More information on the Proposed Zoning can be found through TransForm Baltimore at www.rewritebaltimore.org. General information about development requirements and the City's Comprehensive Master Plan can be located via the Department of Planning's Website. Information about the development process is summarized in the Development Guidebook.","Zoning Resources","http://www.baltimorecity.gov/Government/AgenciesDepartments/Planning/MasterPlansMapsPublications/DevelopmentResources.aspx","TransForm Baltimore","rewritebaltimore.org",,,"Property, Buildings, Housing, Development"," Land Use And Urban Design","Planning",,,,,,,
"Where can I find the City's Landscape Manual?","The Landscape Manual is currently being developed as part of the TransForm Baltimore Zoning Code rewrite process. It will include landscaping and screening standards for new development and redevelopment within the City to promote attractive development, protect property values, and provide environmental benefits. The DRAFT Landscape Manual is available on the TransForm website.","Landscape Manual","http://www.rewritebaltimore.org/pdf/Baltimore_City_Landscape_Manual.pdf","Baltimore Office of Sustainability","http://www.baltimoresustainability.org",,,"Trash, Recycling, Water, Environment","Sustainability and Environmental Planning","Planning",,,,,,,
"Where can I find out more about Baltimore City and the census?","The US Census of population takes place every 10 years and includes population data for the City.  It can be broken down by census tract, block group and is now available on a neighborhood level. Census data is also available in the form of GIS Maps.","2010 Census","http://www.baltimorecity.gov/Government/AgenciesDepartments/Planning/2010Census.aspx","City Council redistricting 2011","http://www.baltimorecitycouncil.com/redistricting.html","US Census Bureau","http://quickfacts.census.gov/qfd/states/24/24510lk.html","Social & Civic Services","Rental Assistance, Section 8, Demographics","Planning",,,,,,,
"Who is the Community Planner for my area of Baltimore City?","Comprehensive Planners are assigned to geographic sections (planning districts). Each planner is intimately involved in, and aware of planning initiatives, the Capital Improvement Program, and its role in implementing the plans developed for their district.","Comprehensive Planners","http://www.baltimorecity.gov/Government/AgenciesDepartments/Planning/Divisions/ComprehensivePlanning.aspx",,,,,"Property, Buildings, Housing, Development","Occupancy, Neighborhoods, Construction Forms, Noise Rules, Noice Complaints","Planning",,"CityView Census Maps","http://cityview.baltimorecity.gov:/cv/?extent=-8546712.99,4752314.77,-8512087.01,4772685.23&basemap=esricomm&basemapopacity=85&theme=census_tracts&thematicmapopacity=95",,,,
"Where can I find different maps of Baltimore?","CityView is the City of Baltimore’s public mapping portal that provides information on a series of topics of interest for its citizens, visitors, researchers, and business community. This site is updated with refreshed data and new layers on a frequent basis. ","CityView","http://cityview.baltimorecity.gov","Planning Map Gallery","http://www.baltimorecity.gov/Government/AgenciesDepartments/Planning/MasterPlansMapsPublications/Maps.aspx",,,"Government & Civil Services","Open Data, APIs, Maps",,,,,,,,
"How do I get Residential Permit Parking for my neighborhood?","The Baltimore Residential Parking Program (RPP) began in 1979 in an effort to address the specific needs of residents in city neighborhoods where the demand for on-street parking was considered to be greatest. Participating neighborhoods elect to do so through application by petition to the City of Baltimore through the Parking Authority of Baltimore City.","Getting RPP in your neighborhood","http://www.baltimorecity.gov/Government/QuasiAgencies/ParkingAuthority/ResidentialParkingPermits/GettingRPPinyourCommunity.aspx",,,,,"Transportation & Streets","ADA, Residential Parking Permit","Parking Authority",,,,,,,
"I'm visiting Baltimore. Where should I park?","Baltimore has many great options for parking. Parking is managed both privately and by the city. The Parking Authority directly manages 17 garages and 23 surface lots throughout the City of Baltimore. ","City managed parking facilities","http://www.baltimorecity.gov/Portals/0/agencies/parking%20authority/public%20downloads/PABC%20PARKING%20FACILITIES%20LIST.pdf","City managed parking garages","http://www.baltimorecity.gov/Portals/0/agencies/parking%20authority/public%20downloads/The%20Garages_(10_4_12).pdf"," ",,"Transportation & Streets","Parking Downtown, Parking Facilities, Bike & Pedestrian",,,,,,,,
"Are parking meters in effect?","You don’t have to feed the meters on these days: New Year's Day, Independence Day, Labor Day, Thanksgiving Day, Christmas Day. ",,,,,,,"Transportation & Streets","Parking Downtown, Parking Facilities, Bike & Pedestrian",,,,,,,,
"Can I park for free on the street if I am disabled?","Beginning July 10, 2014 Project SPACE will make it easier to find an available parking space for everyone, including those with disabilities. New single space parking meters will be reserved for people with disabilities and existing multi-space parking meter kiosks will be retrofitted to meet ADA compliance standards. Payment will be required from everyone at an ADA compliant parking meter in Phase 1.","Map of meters reserved for handicap parking from Project SPACE","http://www.morespace4all.com/about-the-project/meter-locations/",,,,,"Transportation & Streets","ADA, Residential Parking Permit",,,,,,,,
"I have a disability, can I get a reserved parking space in front of my house?","The Reserved Residential Handicap Parking Permit Program, in compliance with Americans with Disabilities Act (ADA), provides residents of Baltimore City who qualify for this service the accommodation of better accessibility to the communities in which they live.","Reserved Residential Handicap Parking Permit Program","http://www.baltimorecity.gov/Government/Quasi-Agencies/ParkingAuthority/ReservedResidentialHandicapParking.aspx","Reserved Residential Handicap Parking / Application Process","http://www.baltimorecity.gov/Government/Quasi-Agencies/ParkingAuthority/ReservedResidentialHandicapParking/ApplicationProcess.aspx",,,"Transportation & Streets","ADA, Residential Parking Permit",,,,,,,,
"How do I renew my Residential Parking Permit (RPP)?","Your RPP can easily be renewed online. Residents who are new to RPP must apply in person.","RPP Renewal","https://pabc.t2hosted.com/cmn/index.aspx",,,,,"Transportation & Streets","ADA, Residential Parking Permit",,,,,,,,
