"ID","Category","Name","Will move","URL","Social Media Name","Facebook","Twitter","YouTube","GovDelivery","Instagram","Google Plus","SoundCloud","Flickr","Blogger","WordPress","Pinterest","Vimeo"
1,"Departments","Baltimore Housing",,"http://www.baltimorehousing.org/","Baltimore Housing","https://www.facebook.com/BaltimoreHousing/278426605597859","https://twitter.com/baltimorehousin",,,,,,,,,,
2,"Departments","Finance","x","http://www.baltimorecity.gov/Government/AgenciesDepartments/Finance.aspx",,,,,,,,,,,,,
3,"Departments","Fire","x","http://www.baltimorecity.gov/Government/AgenciesDepartments/Fire.aspx",,,,,,,,,,,,,
4,"Departments","General Services","x","http://www.baltimorecity.gov/Government/AgenciesDepartments/GeneralServices.aspx",,,,,,,,,,,,,
5,"Departments","Health",,"http://www.baltimorehealth.org/","Health Department","https://www.facebook.com/BaltimoreHealth/99976780641","https://twitter.com/BMore_Healthy","http://www.youtube.com/BaltimoreHealth",,,,,"http://www.flickr.com/photos/bmorehealthy","http://www.takecarebmore.blogspot.com","http://bchdsitupdate.wordpress.com",,
6,"Departments","Fire Department","x","http://www.baltimorecity.gov/Government/AgenciesDepartments/Fire.aspx","Fire Department","https://www.facebook.com/BaltimoreFire/87592220838","https://twitter.com/baltimorefire","https://www.youtube.com/channel/UC_7rb00ZWcvp-Y-M9oV1DiA",,,,"http://www.soundcloud.com/BaltimoreFire",,,,,
7,"Departments","Law","x","http://www.baltimorecity.gov/Government/AgenciesDepartments/Law.aspx",,,,,,,,,,,,,
8,"Departments","Legislative Reference","x","http://www.baltimorecity.gov/Government/AgenciesDepartments/LegislativeReference.aspx",,,,,,,,,,,,,
9,"Departments","Planning","x","http://www.baltimorecity.gov/Government/AgenciesDepartments/Planning.aspx","Department of Planning","https://www.facebook.com/BaltimorePlanning",,,,,,,,,,,
10,"Departments","Public Works","x","http://www.baltimorecity.gov/Government/AgenciesDepartments/PublicWorks.aspx","Department of Public Works","https://www.facebook.com/BaltimoreCityDepartmentofPublicWorks/167566180035199","https://twitter.com/BaltimoreDPW","http://www.youtube.com/BaltimoreDPW",,,,,,,,,
11,"Departments","Recreation and Parks","x","http://www.baltimorecity.gov/Government/AgenciesDepartments/RecreationandParks.aspx","Recreation and Parks","https://www.facebook.com/recnparks/564117000311654","https://twitter.com/RecNParks","http://www.youtube.com/BaltimoreRecNParks",,"http://instagram.com/recnparks",,,"http://www.flickr.com/photos/bmorerecnparks",,,"http://www.pinterest.com/recnparks",
12,"Departments","Transportation","x","http://www.baltimorecity.gov/Government/AgenciesDepartments/Transportation.aspx","Department of Transportation","https://www.facebook.com/baltimoretransportation/109407769112614",,"http://www.youtube.com/baltimorecitydot",,,,,,,,,
13,"Elected Offices","Mayor's Office","x","http://www.baltimorecity.gov/OfficeoftheMayor.aspx","Mayor Stephanie Rawlings-Blake","https://www.facebook.com/stephanie.rawlingsblake","https://twitter.com/MayorSRB","http://www.youtube.com/MayorSRB",,,"https://plus.google.com/107437076706924628227",,,,,,
14,"Elected Offices","City Council",,"http://www.baltimorecitycouncil.com/",,,,,,,,,,,,,
15,"Elected Offices","Comptroller's Office",,"http://comptroller.baltimorecity.gov/",,,,,,,,,,,,,
16,"Elected Offices","Sheriff's Office",,"http://sheriff.baltimorecity.gov/",,,,,,,,,,,,,
17,"Elected Offices","State's Attorney",,"http://www.stattorney.org/",,,,,,,,,,,,,
18,"Elected Offices","Orphans' Courts","x","http://www.baltimorecity.gov/Government/StateAgencies/OrphansCourts.aspx",,,,,,,,,,,,,
19,"Mayoral Offices","Criminal Justice",,"http://mocj.baltimorecity.gov/",,,,,,,,,,,,,
20,"Mayoral Offices","Emergency Management","x","http://www.baltimorecity.gov/OfficeoftheMayor/MayoralOffices/EmergencyManagement.aspx",,,,,,,,,,,,,
21,"Mayoral Offices","Employment Development",,"http://www.oedworks.com/",,,,,,,,,,,,,
22,"Mayoral Offices","Human Services","x","http://www.baltimorecity.gov/OfficeoftheMayor/MayoralOffices/HumanServices.aspx","Department of Human Resources","https://www.facebook.com/COBDHR/349871071773788","https://twitter.com/COB_DHR",,,,,,,,,,
23,"Mayoral Offices","Information Technology",,"http://moit.baltimorecity.gov/",,,,,,,,,,,,,
24,"Mayoral Offices","Minority and Women-Owned Business Development",,"http://mwbd.baltimorecity.gov/",,,,,,,,,,,,,
25,"Mayoral Offices","Neighborhoods and Constituent Services","x","http://www.baltimorecity.gov/OfficeoftheMayor/MayoralOffices/NeighborhoodandConstituentServices.aspx",,,,,,,,,,,,,
26,"Mayoral Offices","Policy and Communications","x","http://www.baltimorecity.gov/OfficeoftheMayor/MayoralOffices/CommunicationsandPolicy.aspx",,,,,,,,,,,,,
27,"City Offices","CitiStat","x","http://baltimorecity.gov/Government/AgenciesDepartments/CitiStat.aspx",,,,,,,,,,,,,
