title,type,old url,migrate,section,section name
Animals,page,,,1342,Health Code & Licensing Information
Food,page,,,1342,Health Code & Licensing Information
Lead,page,,,1342,Health Code & Licensing Information
Swimming Pools,page,,,1342,Health Code & Licensing Information
Tattoo,page,,,1342,Health Code & Licensing Information
Waste,page,,,1342,Health Code & Licensing Information
Asthma,page,,,1343,Health Resources by Topic
Cancer,page,,,1343,Health Resources by Topic
Diabetes,page,,,1343,Health Resources by Topic
Glaucoma,page,,,1343,Health Resources by Topic
Health Hazards A-Z,page,,,1343,Health Resources by Topic
Heart Disease,page,,,1343,Health Resources by Topic
HIV/AIDS,page,,,1343,Health Resources by Topic
Lead Poisoning,page,,,1343,Health Resources by Topic
Mental Health,page,,,1343,Health Resources by Topic
Oral Health,page,,,1343,Health Resources by Topic
Substance Abuse,page,,,1343,Health Resources by Topic
STDs,page,,,1343,Health Resources by Topic
Stroke,page,,,1343,Health Resources by Topic
Smoking Cessation,page,,,1343,Health Resources by Topic
Tuberculosis,page,,,1343,Health Resources by Topic
Violence,page,,,1343,Health Resources by Topic
Baltimore Infants & Toddlers,page, http://www.baltimorehealth.org/bitp.html ,1,1344,Maternal and Child Health
Bmore for Healthy Babies,page, http://www.baltimorehealth.org/birthoutcomes.html ,1,1344,Maternal and Child Health
Maternal & Infant Care Program,page, http://www.baltimorehealth.org/maternalandinfant.html ,1,1344,Maternal and Child Health
Immunizations,page,,,1344,Maternal and Child Health
Lead Poisoning,page, http://www.baltimorehealth.org/lead.html,1,1344,Maternal and Child Health
Teen Pregnancy,page,,,1344,Maternal and Child Health
"Women, Infant & Children (WIC)",page, http://www.baltimorehealth.org/wic.html ,1,1344,Maternal and Child Health
Baltimore Health Improvement Planning Council,page, http://www.baltimorehealth.org/BHIPC.html ,1,1345,Neighborhoods
Cross Agency Health Taskforce,page, http://www.baltimorehealth.org/CAHTinfo.html ,1,1345,Neighborhoods
Neighborhood Health Profiles,page, http://www.baltimorehealth.org/neighborhoodmap.html ,1,1345,Neighborhoods
Healthy Baltimore 2015,page, http://www.baltimorehealth.org/healthybaltimore2015.html ,1,1345,Neighborhoods
Overview,page,,,1347,Seniors
Events,page,,,1347,Seniors
Senior Centers,page,,,1347,Seniors
Senior Initiatives & Services,page,,,1347,Seniors
Behavioral Health System,page,,1,,Substance Abuse
Needle Exchange,page, http://www.baltimorehealth.org/nep.html ,1,,Substance Abuse
Smoking Cessation,page,,,,Tobacco
Dating Matters,page,,,1350,Violence Prevention
Operation Safe Kids,page, http://www.baltimorehealth.org/operationsafekids.html ,1,1350,Violence Prevention
Safe Streets,page, http://www.baltimorehealth.org/safestreets.html ,1,1350,Violence Prevention
Youth Violence Prevention,page, http://www.baltimorehealth.org/youthviolenceprevention.html ,1,1350,Violence Prevention
