"Title","Body","Date","Tags","Program","Story Type"
"A Safer City","<p>I am very concerned about the recent incidents of violence in Baltimore City. As of this week, we have had 9 young people under the age of 20 killed this year. Last year, we had only 4 youth homicides. This serves as a reminder that while we have made solid progress recently in our fight against crime, there is still much more work to do.</p><p> On Wednesday, at the request of my administration, the Board of Estimates took some very concrete steps to keep moving our city forward in the crime fight. More than $2 million was approved to strengthen our police enforcement zones, support Operation Ceasefire, and develop a new youth connection center by this summer.</p><p> During my State of the City address, I was very clear about my vision and passion to make Baltimore City a safer place to live. This package of initiatives passed by the BOE represents a down payment on the commitments I made to do everything within my power to reduce crime in Baltimore City.</p><p> Additionally, I have decided to add one more stop on my Public Safety Forum tour—this time focused specifically on youth violence. I want to speak with Baltimore’s kids and young adults, to engage directly with them, hear their concerns regarding crime in Baltimore, and listen to their ideas for resolution. This city-wide forum will take place at City Hall on May 13, 6:00 pm.</p><p> We will continue working with Baltimore’s residents on this issue and other matters of public safety at the next two stops on our Public Safety Forum tour: the Northwestern and Southwestern police districts (details listed below). I hope you will join us and spread the word. Reducing homicide and violent crime is my top priority. My administration will continue to pursue all options when it comes to making Baltimore a safer city.</p>","4/25/2014","Safer Streets, Innovative Government, Rawlings-Blake Review","Safer Streets, Innovative Government","The Rawlings-Blake Review"
"Better Every Day","<p>This past Sunday, I joined members of Baltimore’s faith community for an annual tradition, the Blessing of the City. It is good to know that communities of faith are praying for our city’s success, safety, and good health. I am grateful for every prayer, every good thought, and every positive effort to uplift our city. We all know Baltimore City still has many challenges, but we also have a lot to be grateful for. Our city is a great place to live, and a great place to raise a family—and it’s getting better every day.</p><p> Blight is being eliminated from many of our neighborhoods, and my Vacants to Value program is hard at work. This week, we celebrated the opening of one of the initiative’s great successes: Fells Point Station. Built in 1860, the building once served as the Eastern Station House in one of Baltimore’s first police districts. It was later used as a Boys and Girls Club, but was eventually left to stand vacant for nearly two decades. Fells Point Station incorporates the rehabilitation of this historic building and the construction of a 39,000 square foot addition to create a 65,000 square foot, 4-story mixed-use building in Upper Fells Point. The building now provides 47 mixed-income residential units and approximately 3,000 square feet of retail space on Broadway.</p><p> I am very proud of the work that has been accomplished through Vacants to Value. Since its launch in November 2010, the program has spurred more than $85 million in private investment in communities all across Baltimore City. City wide, Baltimore Housing has demolished more than 800 vacant and blighted properties, and more than 1,200 properties are being rehabbed. We have sold more than 1,000 vacant, city-owned properties. We have issued more than 1,500 citations to vacant property owners. The program has also provided thousands of dollars in homeownership incentives, with more than 30 percent of those incentives going to purchasers who are new to Baltimore City.</p><p> City government is more transparent and connected than ever before. This week, I announced a key reform that will bring the financial disclosure process online, making it easier for residents to view their elected officials’ financial disclosures. This new system will replace our current, antiquated process, which requires government officials to submit hard copy forms to the ethics board and requires residents to visit City Hall in person if they wish to view these documents.</p><p> This reform is just one of a number of major advances my administration has made for government transparency. It puts Baltimore ahead of the game across the State of Maryland, and it gives residents valuable resources to help them stay informed about city government.</p><p> And we have seen a decrease in homicides and violence. These promising results are the effect of a persistent focus on violent repeat offenders and on strengthening partnerships between Baltimore Police and the residents of our communities. As part of our efforts to strengthen these partnerships, I have been hosting a series of Public Safety Forums to let residents know how hard we are working to make the city safer, to present our strategy, and to discuss feedback from residents.</p><p> The next stop on our Public Safety Forum tour will take place tonight at 7:00 pm in the Southern District. Please join us at the National Federation of the Blind, 200 E. Wells Street, to discuss how we can work together to make Baltimore’s communities safer.</p>","4/17/2014","Stronger Neighborhoods, Innovative Government, Safer Streets, Rawlings-Blake Review","Stronger Neighborhoods, Innovative Government, Safer Streets","The Rawlings-Blake Review"
"Communities in Motion","<p>Schools are a key ingredient for a thriving economy, helping to lift many of our residents out of poverty. And they are anchors for communities that are working to grow for generations to come.</p><p> In Baltimore we have accomplished something most other cities in America can only dream of. We’ve secured a BILLION dollar investment for rebuilding and modernizing schools all across our city through the 21st Century School Buildings Plan. But when the history is written about this transformative period of change for education in Baltimore City, it will be noted that the Waverly community was a trailblazer!</p><p> This week, I attended the ribbon cutting for the new Waverly Elementary/Middle School—one of the first completely new schools built in our city in decades. The Waverly community has been fighting for years to make this school a reality. Residents and community leaders in Waverly came together and demanded better for their children, and I cannot commend them enough for all their hard work.</p><p> Baltimore needs this determination and grit—residents who are bold, honest, and courageous in their efforts to keep this city that we love moving forward. In our efforts to grow Baltimore by 10,000 families, we are focused on making our city an attractive destination for new residents and a better place to live for those who have called our city home for decades.</p><p> I am constantly gratified to see residents who are passionate about their communities and are taking action—residents like those who attended last night’s Eastern District Public Safety Forum at the American Brewery Building. There was a strong turnout at the event, and I want to thank everyone who attended. Each of these citizens demonstrated interest and a motivation to make our Baltimore communities safer.</p><p> Last year, Baltimore saw a 300% increase in residents calling in to report tips to the police. That is amazing! Citizen participation is critical to the success of our fight against crime. Public safety is about more than just law enforcement. It is about communities in motion, moving together toward a brighter future.</p>","4/11/2014","Better Schools, Stronger Neighborhoods, Safer Streets, Rawlings-Blake Review","Better Schools, Stronger Neighborhoods, Safer Streets","The Rawlings-Blake Review"
"Growing Baltimore","<p>Baltimore is the city that I love, and I have worked my entire life to make it better. While our city has struggled with violent crime, and our homicide rate remains stubbornly high, we are making great strides toward being a safer city.</p><p> This past March was the safest month that Baltimore has had since 1983, and the number of homicides was in the single digits. This significant drop in homicides coincided with the Baltimore Police Department’s expansion of enforcement zones—from 4 zones to 17. We remain focused on our fight to reduce crime, and we are working in every neighborhood in Baltimore to build partnerships with communities and create a safer Baltimore.</p><p> Public safety is my administration’s top priority, and we are not going to let up until every community in our city feels safe. We will continue to invest the resources necessary to protect our residents and continue modernizing our police force.</p><p> As part of our efforts to strengthen partnerships with Baltimore’s communities, I am hosting a series of Public Safety Forums—to let residents know how hard we are working to make the city safer, to present our strategy, and to hear citizens’ feedback on how we can build better relationships between police and residents. This month we will be speaking with residents in the Eastern and Southern police districts.</p><p> I want to express my firm conviction that Baltimore is a great place to live, and a great place to raise a family. Just consider all that we have going for us! Earlier this week I announced just one of Baltimore’s many summer festivals, the 2014 African American Festival, which will take place June 21 – 22. The African American Festival introduces new & exciting ways to honor our past, celebrate our accomplishments, and showcase our future.</p><p> This year’s festival will include musical performances from R&B Divas star Monifa, the multi-talented Jacob Latimore, Chico DeBarge, and the rock-based funk band Mint Condition on Saturday, followed by gospel performances from The Choir Boyz, and Preachers of L.A. star Deitrick Haddon on Sunday. Soulful R&B crooner Johnny Gill, and Grammy Award-winning artist Brandy will take the main stage on Sunday evening to close out the festival. For a complete list of performers, or for more info, visit www.africanamericanfestival.net.</p><p> One of my goals as mayor of Baltimore is to grow our city by 10,000 families. I want everyone to be able to have a piece of the amazing Baltimore that I know.</p>","4/4/2014","Safer Streets, Stronger Neighborhoods, Rawlings-Blake Review","Safer Streets, Stronger Neighborhoods","The Rawlings-Blake Review"
"Cultivating Young Leaders","<p>Today I was joined by author and educator Stedman Graham, as well as representatives from Kaiser Permanente to announce our intention to bring a new youth-focused program to Baltimore City. Mr. Graham has taken the program, known as Identity Leadership Training, to communities all across the country, and it has shown tremendous results in teaching life lessons to help our young people succeed.</p><p> I want to emphasize that our investment in Identity Leadership Training will be another initiative in a long line of efforts that my administration has made to empower our young people. Whether it was in fighting for and winning $1 billion in school construction funds, or through the countless hours that I personally spend each year visiting classrooms to promote reading skills and school attendance, my goal has always been to provide the very best resources to support our youth and to let them know how much we care about and love them.</p><p> So when the opportunity came to work with Mr. Graham and Kaiser Permanente to bring this program to Baltimore, I jumped at the chance. Kaiser has stepped up to the plate to provide $25,000 in funding, and we are actively working to identify additional partners to assist us in these efforts. We will continue our outreach to the Baltimore City School system to work in a coordinated fashion to ensure these resources reach those youth who are most in need. There are still a few details to finalize but we anticipate having the program up and running in Baltimore this coming fall.</p><p> Identity Leadership Training will be a great addition to existing programs like our recently announced B’More Night Hoops. This competitive basketball league will provide young people with quality recreation and constructive activities to help keep them on the right path. In addition to the physical exercise they receive, players will attend life skills and education seminars each week, prior to the start of the week’s first game. Registration for the league closes today, but there is still time for teams ages 15 – 17 and 18 – 21 to get in on the action if they hurry!</p><p> We have a great opportunity to do something positive for our youth, and I’m honored to be joining Mr. Graham and Kaiser Permanente. Baltimore’s rising generation has great potential, and I am committed to making investments that support their success.</p>","3/28/2014","Stronger Neighborhoods, Cleaner and Healthier City, Rawlings-Blake Review","Stronger Neighborhoods, Cleaner and Healthier City","The Rawlings-Blake Review"
"Stronger Communities","<p>Spring has finally arrived, and I know I’m not the only one who is ready to put the snow and cold behind us! After a long winter, many Baltimoreans are ready to get out their brooms and start sweeping out the cobwebs. But it’s not just our eaves and cellars that need to be swept out. Earlier this week, I was pleased to announce that, starting next month, the Department of Public Works is going to help “Clean Up Baltimore” by extending mechanical street sweeping to every City neighborhood.</p><p> For years, mechanical street sweeping has helped clean the streets of Downtown and central Baltimore, as well as many of our major commuter routes and a few of our neighborhoods. But currently, just 30% of city streets are swept on a regular basis. The Citywide Mechanical Street Sweeping Program will ensure that more than 90% of city streets are swept at least once a month.</p><p> Not only do clean streets make for more lively neighborhoods, they also mean cleaner waterways. Left alone, large pieces of debris can lead to clogged storm drains and flooded streets. Dangerous chemicals and germs left behind by things like automobile debris, animal waste, and yard treatments drain into our streams and into the bay. The tons of trash collected by street sweepers are properly disposed of, instead of ending up in our storm water system.</p><p> Cleaner communities are more livable communities. A big focus of my administration has been investing in communities, and looking for ways that we can work with residents to make Baltimore a stronger, more appealing city.</p><p> This commitment is reflected in the budget that I presented to the Board of Estimates on Wednesday.</p><p> My proposed FY15 budget shows how far Baltimore has come in recent years. In addition to expanding our street sweeping program, the budget includes no cuts to City services and no tax increases. There are not many other cities in America who can say they managed to cut property taxes, invest in education, and eliminate blight from communities while simultaneously reducing their structural deficit by more than half.</p><p> It is a strong budget, and it clearly demonstrates that Baltimore City is committed to our residents’ quality of life.</p><p> I have lived in Baltimore my entire life, and I love this city. I want nothing more than to see Baltimore’s communities grow and thrive. I am committed to moving our city forward and in these efforts, I am truly grateful for the partnership of Baltimore’s dedicated and passionate communities.</p>","3/21/2014","Cleaner and Healthier City, Innovative Government, Rawlings-Blake Review","Cleaner and Healthier City, Innovative Government","The Rawlings-Blake Review"
"Safer Streets","<p>Public safety is an issue that is on the minds of citizens, businesses, communities, City officials—and it is on my mind every hour of every day.</p><p> While we have made major gains in our efforts to make Baltimore a safer city (statistics show that crime has decreased in a number major categories, including assault, robbery, rape, and even overall violent crime), we need to do better. Our citizens deserve better.</p><p> The cornerstone of our crime fighting strategy is focusing on targeting violent repeat offenders. We are working to make our police force more nimble and technologically savvy so that we can be proactive and remove these criminals from the streets before they commit violent crimes.</p><p> To enhance our focus on violent repeat offenders, we are implementing a program that has seen success in several other cities: Operation Ceasefire. This program has shown great promise in reducing homicides in several other big cities. Over the past several weeks, my administration has been working to get the program up and running here in Baltimore. It will be a collaborative effort across several City agencies, as well as law enforcement partners at all levels of government. Operation Ceasefire will continue our all-hands-on-deck approach to fighting crime, and I am convinced that it will complement our efforts to make our city safer.</p><p> The program will focus on violent repeat offenders and will work directly with community members and law enforcement agencies to make clear that the violence taking place in our communities must end now; that there will be severe and swift consequences for any future acts of violence; and that if you are genuinely sincere about wanting to change your life, we are here with the resources and support to assist you in that endeavor.</p><p> It is important that we continue to work to strengthen the partnership between the police and our communities. Last year we saw a 300% increase in residents calling in to report tips to the police. We need to continue working together to reduce violence in our communities. I would like to urge all of Baltimore’s residents to engage, speak up, and work with us to reduce violence.</p><p> To that end, my administration has also increased support for Crime Stoppers, a central tip line for residents to provide information that could help to solve a crime or prevent one from taking place. If you or someone you know has any information that could help, please call Crime Stoppers at 866-7-LOCKUP.</p><p> This past Wednesday, I joined with Police Commissioner Batts, leaders from the Western police district, and members of the community at Frederick Douglass High School to hold the first in a series of Public Safety Forums. In the coming weeks, we will be visiting with residents in each of the nine police districts to explain our public safety strategy, to discuss crime reduction, and to afford residents the opportunity to meet with me, the police commissioner, and other members of the administration to inquire about current initiatives and ways they can volunteer to help.</p><p> We are taking every step imaginable to reduce violent crime and homicides in our city. I have charged Police Commissioner Batts with a broad range of reforms that will ultimately make our police force more nimble and responsive in the crime fight, while building bridges with the communities we serve. I urge you to join us for our upcoming Public Safety Forums. For details, stay tuned to my Twitter and Facebook pages.</p>","3/14/2014","Safer Streets, Stronger Neighborhoods, Innovative Government, Rawlings-Blake Review","Safer Streets, Stronger Neighborhoods, Innovative Government","The Rawlings-Blake Review"
"Inspired to Inspire","<p>The contributions that women have made to society have had—and continue to have—a strong impact on the lives of men, women, and children everywhere. I am honored to celebrate Women’s History Month during March, and to raise a testament to the contributions of women in our nation’s history and in the history of Baltimore City. I am honored because, each and every day, I see the dedication to family, community, and the next generation that these women display. And for this I am inspired to inspire.</p><p> Throughout the month, I will honor, applaud, and recognize the inspirational women in Baltimore City—past, present, and future—with programming under the banner of Inspired to Inspire: A Sisterhood of Women.</p><p> Earlier this week, I announced the Inspired to Inspire: A Sisterhood of Women city-wide contest. From now until March 19, anyone can nominate the woman who is most inspirational to them. Nominees must be 18 years or older and a resident of Baltimore City.</p><p> On the last day of March, I will announce seven of the inspirational women as winners. I will recognize these winners on FOX45, one of the contest sponsors. Winners will also be given a special reception at Fleet Street Kitchen, another contest sponsor. For details on the contest, visit www.baltimorecity.gov/inspired.</p><p> In addition to the contest, my Inspired to Inspire: A Sisterhood of Women campaign consists of inspirational events and activities throughout Women’s History Month. Every Monday and Wednesday, I will share a new Inspired to Inspire video with followers on Facebook and Twitter. This week’s videos included a conversation I had with my mom, Dr. Nina Rawlings, as she shared words of wisdom. I am blessed to call her ‘Mom.’</p><p> Leslie King-Hammond, founding director of the Center for Race & Culture at MICA, and Dr. Marietta English, president of the Baltimore Teachers Union, rounded out this week’s videos. Have a look and I think you’ll see why I think these are two truly inspirational women. And don’t forget to follow along at twitter.com/mayorsrb and facebook.com/Stephanie.RawlingsBlake for a new video twice a week in March.</p><p> We are just one week into March, and I feel incredibly grateful for the inspirational and inspiring women of Baltimore. I am looking forward to the rest of this month’s messages, and I hope you will join me in the spirit of Inspired to Inspire: A Sisterhood of Women.</p>","3/7/2014","Stronger Neighborhoods, Rawlings-Blake Review","Stronger Neighborhoods","The Rawlings-Blake Review"
"Building on Their Legacy","<p>Today is the last day of Black History Month. For 28 days, we have looked back on the history that has been made by people of color in our city and our nation. We have reverently remembered their struggles and enriched our own lives by expanding our understanding of how the past informs our present. This month, I have been truly inspired by not only our forebears, but also the promise of a rising generation that honors the legacy and culture that have come down to us through the years and continue to thrive.</p><p> This week I hosted students from Reginald F. Lewis High School of Business and Law and Frederick Douglass High School for a screening of Rise! The Road to Civil Rights (1940 – 1968), an episode of the PBS documentary miniseries The African Americans: Many Rivers to Cross. Following the film, the students participated in a discussion with myself and our panelists—retired Chief Judge Robert M. Bell of the Maryland Court of Appeals and Professor Larry S. Gibson of the University of Maryland Francis King Carey School of Law. It was a great honor to share the stage with these distinguished men.</p><p> The film and our panel discussion reflected on a period of particular hardship for many in our nation. But the Civil Rights Movement was also a time of great promise and bravery. It was a time when ordinary citizens reached deep within themselves to effect lasting change. This is a message that I was eager to share with these students—the idea that the age of social activism and community involvement are not over, and that change for Baltimore’s future will be built by our most tenacious and courageous citizens.</p><p> The impact that Black History has had on our everyday lives, and on our media, arts, and culture, was joyously apparent this week as the Paul Laurence Dunbar and Frederick Douglass Senior High School Jazz Bands spent the day in the rotunda of City Hall, performing for City employees and visitors. They were awesome! I want to thank these talented students, who put their hearts and souls into sharing the sounds of the jazz legends of years past. It was encouraging to watch them make history their own as they paid tribute to Black History. I look forward to seeing what this generation has in store as it continues to build upon that legacy.</p><p> I am also glad to know that this rising generation has great mentors and leaders to rely upon in their journey. This week I was thrilled to host the inaugural Mayor’s Divine Nine Presidents Awards. During this awards ceremony at City Hall, we took time to recognize members of the “Divine Nine” historically black fraternities and sororities for their service to Baltimore. The organizations of the Divine Nine—formally the National Pan-Hellenic Council—have served as beacons to our young adults and have continued to demonstrate a commitment to service in our communities. The Mayor’s Divine Nine Presidents Awards honored specific individuals who have exhibited the highest degree of ethics, professional conduct, leadership and initiative.</p><p> As Black History Month draws to a close, I am heartened to know that Baltimore has a bright future ahead. I encourage you to continue in a spirit of reflection throughout the year. The lessons of the past are one of the most powerful tools we possess as we work to build a better Baltimore.</p>","2/28/2014","Stronger Neighborhoods, Rawlings-Blake Review","Stronger Neighborhoods","The Rawlings-Blake Review"
"Educational Opportunity","<p>On May 17, 1954—nearly 60 years ago—the United States Supreme Court handed down a unanimous decision in the case of Brown vs. Board of Education. The decision clearly stated that “separate educational facilities are inherently unequal”—ending racial segregation in America’s schools.</p><p> This week, I was honored to host a panel discussion in partnership with the University of Baltimore College of Public Affairs on the 60 years following Brown vs. Board of Education. We discussed the impact of that landmark decision and acknowledged the historic efforts of Baltimore attorney (and later, Supreme Court Justice) Thurgood Marshall, who argued the case before the Supreme Court. The impact of that decision has rippled through generations, creating opportunity where it did not exist before.</p><p> However, for far too many of our youth, our education system is still very much separate and unequal. While students of color can now attend any school they choose, disparity still exists. We know that right here in Baltimore, many students are not afforded the same opportunities as their peers in other parts of the state and around the country. Baltimore’s school buildings are the oldest in the state—some are still standing from the 19th century. Dripping roofs, leaking foundations, unreliable heating & cooling systems, unusable bathrooms & water fountains—these have become the norm in our schools.</p><p> It is a billion dollar problem, and for many years all anyone would do was point fingers. The City said it was a State problem. The State said it was a City problem. The school system said it was both of our problems. In order to build a better school system, we had to grow beyond the tired arguments of the past and do something monumental for ALL of our children. That is why I fought so hard to secure up to $1.1 billion to build new schools and renovate several others across Baltimore. I cannot tell you what it means to me that future generations will finally see new schools, renovated schools, and first-class schools right here in Baltimore City. Because of this remarkable accomplishment we can build the school system our children deserve.</p><p> Building better schools is one of many efforts underway to provide African American students equal educational opportunity. This week we saw another exciting step in the right direction with the announcement of a new CEO for Baltimore City Public Schools. In Dr. Gregory Thornton, Baltimore has found a seasoned administrator, who also understands the demands of leading in our classrooms—because he began his career there. I am glad to welcome Dr. Thornton back to Maryland, and excited to work with him as we embark on a new season for Baltimore’s students.</p><p> As the daughter of a teacher, education has been a focal point in my life since I was young. The doors that education opened for my parents, for myself, and for my daughter have clearly demonstrated to me the importance of equal educational opportunity. As we continue to celebrate Black History Month, I am thankful for the bold and courageous citizens who made it possible for us to continue moving forward.</p>","2/21/2014","Better Schools, Rawlings-Blake Review","Better Schools","The Rawlings-Blake Review"
